amazon|amazon_link|hulu|hulu_link|imdbid|netflix|netflix_link
1|https://www.amazon.com/Straight-Outta-Compton-OShea-Jackson/dp/B018JQTUQG|0||1398426|0|
0||0||1392190|0|
0||0||2452042|0|
1|https://www.amazon.com/Annie-Hall-Woody-Allen/dp/B002XZNHG4|0||1979388|0|
1|https://www.amazon.com/Trainwreck-Amy-Schumer/dp/B011U0JWMK|0||3152624|0|
1||0||1964418|0|
1||0||1340138|0|
0||0||4046784|0|
0||0||1051904|1|https://www.netflix.com/title/80049939
1||0||2120120|0|
1||0||2361509|0|
0||0||3682448|0|
0||0||2268016|0|
1|https://www.amazon.com/Hateful-Eight-Samuel-L-Jackson/dp/B01A1FDTKG|0||3460252|0|
1||0||3195644|0|
0||0||3397884|0|
0||0||1895587|1|https://www.netflix.com/title/80061341
0||0||2097298|0|
1||1|http://www.hulu.com/watch/930090|1655441|0|
1||0||2381111|0|
0||0||2555736|0|
1||0||1674771|0|
1||0||3622592|0|
0||0||1823672|0|
1||0||2554274|0|
0||0||3623726|0|
0||0||0470752|0|
0||0||1243974|0|
0||0||2277860|0|
0||0||3498820|0|
0||0||2709768|0|
0||0||1431045|0|
0||0||2948356|1|https://www.netflix.com/title/80079258
1|https://www.amazon.com/Dr-Strange-Jay-Oliva/dp/B0010ZEX1Q|0||1211837|0|
0||0||3521164|0|
0||0||2660888|0|
0||0||3385516|0|
0||0||1679335|0|
0||0||2267968|1|https://www.netflix.com/title/80071348
0||0||1489889|0|
0||0||3065204|0|
0||0||1700841|0|
0||0||1935859|0|
0||0||2788732|0|
0||0||4624424|0|
0||0||1860357|0|
0||0||3691740|0|
0||0||4438848|0|
0||0||4302938|0|
0||0||0803096|0|
0||0||2823054|0|
0||0||3231054|0|
0||0||3799694|0|
0||0||3062096|0|
0||0||0475290|0|
0||0||2025690|1|https://www.netflix.com/title/80058068
0||0||1473832|0|
0||0||3553442|0|
0||0||3522806|0|
0||0||1124037|0|
