awards|imdbid|oscars
2 wins & 8 nominations.|0180052|none
1 win & 9 nominations.|0263734|none
Nominated for 1 Golden Globe. Another 15 wins & 25 nominations.|0274812|none
5 wins & 13 nominations.|0255477|none
10 wins & 29 nominations.|0283832|none
1 nomination.|0259484|none
7 wins & 3 nominations.|0286179|none
2 nominations.|0328962|none
Nominated for 1 BAFTA Film Award. Another 44 wins & 7 nominations.|0238936|none
1 nomination.|0290212|none
10 wins & 14 nominations.|0318034|none
N/A|0301893|none
6 nominations.|0298744|none
Won 11 Oscars. Another 174 wins & 113 nominations.|0167260|won
Won 1 Oscar. Another 46 wins & 59 nominations.|0266543|won
Nominated for 5 Oscars. Another 31 wins & 88 nominations.|0325980|nom
6 wins & 23 nominations.|0234215|none
7 wins & 8 nominations.|0315327|none
5 wins & 35 nominations.|0290334|none
2 wins & 7 nominations.|0319343|none
2 wins & 17 nominations.|0181852|none
2 wins & 23 nominations.|0242653|none
2 wins & 7 nominations.|0349205|none
5 wins & 12 nominations.|0172156|none
2 wins & 5 nominations.|0305224|none
4 wins & 13 nominations.|0305669|none
2 wins & 10 nominations.|0286716|none
3 wins & 13 nominations.|0322259|none
Nominated for 1 Oscar. Another 7 wins & 12 nominations.|0337741|nom
Nominated for 7 Oscars. Another 6 wins & 36 nominations.|0329575|nom
4 wins & 5 nominations.|0257076|none
3 wins & 1 nomination.|0338459|none
Nominated for 4 Oscars. Another 19 wins & 54 nominations.|0325710|nom
Nominated for 1 Golden Globe. Another 5 wins & 9 nominations.|0322330|none
2 wins & 2 nominations.|0306047|none
7 wins & 7 nominations.|0317740|none
1 win & 8 nominations.|0251127|none
3 wins & 6 nominations.|0328828|none
1 win & 7 nominations.|0317303|none
5 wins & 16 nominations.|0287978|none
3 wins & 15 nominations.|0312528|none
7 wins & 17 nominations.|0305357|none
Won 1 Oscar. Another 17 wins & 92 nominations.|0159365|won
Won 2 Oscars. Another 21 wins & 80 nominations.|0311113|won
3 wins & 3 nominations.|0333780|none
Won 2 Oscars. Another 53 wins & 131 nominations.|0327056|won
Nominated for 1 Oscar. Another 2 wins & 19 nominations.|0328880|nom
2 wins & 7 nominations.|0329101|none
Nominated for 1 Golden Globe. Another 7 wins & 18 nominations.|0332379|none
4 wins & 14 nominations.|0324216|none
1 win & 4 nominations.|0338094|none
5 nominations.|0302886|none
Nominated for 1 Golden Globe. Another 25 wins & 84 nominations.|0266697|none
3 wins & 9 nominations.|0311289|none
1 win & 6 nominations.|0257568|none
Nominated for 1 Oscar. Another 1 win & 62 nominations.|0319061|nom
7 nominations.|0311429|none
1 win & 3 nominations.|0325703|none
